"MOD_NAME","ITM_NAME","CODE","DECODE","MAPPING_NOTES"
"AECLINAST","CONDLP","1","Checked",""
"AECLINAST","CONDSKBIO","0","Unchecked",""
"AECLINAST","CONDSKBIO","1","Checked",""
"AECLINAST","PAG_NAME","AECLINAST","Adverse Event In-Clinic Assessment",""
"AVAECLINAST","AVAERPRT","0","No",""
"AVAECLINAST","AVAERPRT","1","Yes",""
"AVAECLINAST","AVASTYN","0","No",""
"AVAECLINAST","AVASTYN","1","Yes",""
"AVAECLINAST","AVCLNCONDCTVIS","0","No",""
"AVAECLINAST","AVCLNCONDCTVIS","1","Yes",""
"AVAECLINAST","PAG_NAME","AVAECLINAST","(Early Imaging Substudy) Adverse Event In-Clinic Assessment",""
"AVCNSNT","DOCCONSNTAV","0","No",""
"AVCNSNT","DOCCONSNTAV","1","Yes","Set as 1 when all of the eight av133 consent variables : AVCNSTDISC,CNSTFORM,CNSTTIME,SIGNCNST,CNSTCOPY,CNSTPRIR,CNSTAUTH,CNSTQA = 1:Yes) (for records collected in prior EDC)"
"AVCNSNT","PAG_NAME","AVCNSNT","(Early Imaging Substudy) Documentation of Informed Consent",""
"AVEKG","EKGPERF","0","No",""
"AVEKG","EKGPERF","1","Yes",""
"AVEKG","EKGRSLT","1","Normal",""
"AVEKG","EKGRSLT","2","Abnormal, not clinically significant",""
"AVEKG","EKGRSLT","3","Abnormal, clinically significant",""
"AVEKG","PAG_NAME","EKG","(Early Imaging Substudy) ECG",""
"AVELIG","EXABCOND","0","No",""
"AVELIG","EXABCOND","1","Yes",""
"AVELIG","EXAVRX1MO","0","No",""
"AVELIG","EXAVRX1MO","1","Yes",""
"AVELIG","EXCARDDX","0","No",""
"AVELIG","EXCARDDX","1","Yes",""
"AVELIG","EXRXQTPRO","0","No",""
"AVELIG","EXRXQTPRO","1","Yes",""
"AVELIG","INCNST","0","No",""
"AVELIG","INCNST","1","Yes",""
"AVELIG","INEX1","0","No",""
"AVELIG","INEX1","1","Yes",""
"AVELIG","INPPMI2","0","No",""
"AVELIG","INPPMI2","1","Yes",""
"AVELIG","INPREGNT","0","No",""
"AVELIG","INPREGNT","1","Yes",""
"AVELIG","PAG_NAME","AVELIG","(Early Imaging Substudy) Inclusion Exclusion Criteria",""
"AVIMAG","INVEVLAF","0","No",""
"AVIMAG","INVEVLAF","1","Yes",""
"AVIMAG","INVEVLBF","0","No",""
"AVIMAG","INVEVLBF","1","Yes",""
"AVIMAG","PAG_NAME","AVIMAG","(Early Imaging Substudy) AV-133 Imaging",""
"AVIMAG","PETCMPLT","0","No",""
"AVIMAG","PETCMPLT","1","Yes",""
"AVIMAG","VMATRSLT","1","Consistent with VMAT-2 deficit",""
"AVIMAG","VMATRSLT","2","Not consistent with VMAT-2 deficit",""
"AVPREGNANC","PAG_NAME","AVIMAG","Early Imaging AV-133 Imaging",""
"AVPREGNANC","PAG_NAME","AVPREGNANC","(Early Imaging Substudy) Pregnancy Test",""
"AVPREGNANC","PREGAPPL","0","No","Set as 0 when GENDER = 1:Female of non-child bearing potential OR 2:Male (for records collected in prior EDC)"
"AVPREGNANC","PREGAPPL","1","Yes","Set as 1 when GENDER = 0:Female of child bearing potential (for records collected in prior EDC)"
"AVPREGNANC","SPRGCNNEGBF","0","No",""
"AVPREGNANC","SPRGCNNEGBF","1","Yes",""
"AVPREGNANC","SPRGCNNEGBF","2","Not Applicable",""
"AVPREGNANC","UPREGPRF","0","No",""
"AVPREGNANC","UPREGPRF","1","Yes",""
"AVPREGNANC","UPREGPRF","2","Not Applicable","Code N:Not Applicable is replaced by 2 (for records collected in prior EDC)"
"AVPREGNANC","UPRGCNBF","0","No",""
"AVPREGNANC","UPRGCNBF","1","Yes",""
"AVPREGNANC","UPRGCNBF","2","Not Applicable",""
"AVPREGNANC","UPRGRSLT","0","No",""
"AVPREGNANC","UPRGRSLT","1","Yes",""
"AVREPPREG","PAG_NAME","AVREPPREG","(Early Imaging Substudy) Report of Pregnancy",""
"AVREPPREG","PREG30AV","0","No",""
"AVREPPREG","PREG30AV","1","Yes",""
"AVREPPREG","PREG30AV","2","Unknown",""
"AVREPPREG","PREGWHO","1","Female participant",""
"AVREPPREG","PREGWHO","2","Female partner of participant",""
"AVSCRNFAIL","PAG_NAME","AVSCRNFAIL","(Early Imaging Substudy) Screen Fail",""
"AVSCRNFAIL","RSNDEC","1","Risks of Protocol",""
"AVSCRNFAIL","RSNDEC","2","Confidentiality issues",""
"AVSCRNFAIL","RSNDEC","3","Protocol too time intensive",""
"AVSCRNFAIL","RSNDEC","4","Changed mind about lumbar puncture",""
"AVSCRNFAIL","RSNDEC","5","Travel requirements",""
"AVSCRNFAIL","RSNDEC","6","Family or caregiver/informant advised declining",""
"AVSCRNFAIL","RSNDEC","7","Physician (other than Site Investigator) advised declining",""
"AVSCRNFAIL","RSNDEC","8","Enrolled in other study",""
"AVSCRNFAIL","RSNDEC","9","No longer interested",""
"AVSCRNFAIL","RSNDEC","99","Other",""
"AVSCRNFAIL","SCFAILRSN","1","Eligibility Criteria",""
"AVSCRNFAIL","SCFAILRSN","2","Participant declined participation prior to completing baseline visit",""
"AVTEL","AVCONDCTVIS","0","No",""
"AVTEL","AVCONDCTVIS","1","Yes",""
"AVTEL","CNTACTYN","0","No",""
"AVTEL","CNTACTYN","1","Yes",""
"AVTEL","CNTRSN","1","Phone disconnected/number no longer in service",""
"AVTEL","CNTRSN","2","Messages for participant were not returned",""
"AVTEL","CNTRSN","3","Participant moved/unable to locate",""
"AVTEL","CNTRSN","4","Other",""
"AVTEL","PAG_NAME","AVTEL","(Early Imaging Substudy) Adverse Event Telephone Assessment",""
"AVTEL","TELAERPT","0","No",""
"AVTEL","TELAERPT","1","Yes",""
"BASELINE","PAG_NAME","BASELINE","Baseline Visit Start",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","A","OLFACTORY BULBS AND TRACTS",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","B","MIDDLE FRONTAL GYRUS",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","BB","CONTRALATERAL MIDDLE FRONTAL GYRUS ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","C","INFERIOR PARIETAL LOBULE ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","CC","CONTRALATERAL PARIETAL LOBULE",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","D","SUPERIOR AND MIDDLE TEMPORAL GYRI",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","DD","CONTRALATERAL SUPERIOR AND MIDDLE TEMPORAL GYPRI",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","E","PRIMARY VISUAL CORTEX",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","EE","CONTRALATERAL PRIMARY VISUAL CORTEX",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","F","CINGULATE GYRUS ANTERIOR AND POSTERIOR",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","G","STRIATUM WITH GLOBUS PALLIDUS AND NUCLEUS BASALLIS",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","GG","CONTRALATERAL STRIATUM",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","H","THALAMUS",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","HH","CONTRALATERAL THALAMUS",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","I","AMYGDALA ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","II","CONTRALATERAL AMYGDALA ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","J","HIPPOCAMPUS MID AND POSTERIOR",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","JJ","CONTRALATERAL HIPPOCAMPUS ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","K","MIDBRAIN",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","L","PONS",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","M","MEDULLA X 3 LEVELS AND CERVICAL SPINAL CORD ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","N","CEREBELLAR CORTEX WITH DENTATE NUCLEUS",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","O","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","OO","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","P ","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","PP","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","Q ","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","QQ","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","R ","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","RR","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","S ","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","SS","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","T ","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","TT","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","U ","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","UU","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","V ","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","VV","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","W ","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","WW","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","X","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","XX","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","Y","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","YY","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","Z","ADDITIONAL LESION",""
"BIOSPECIMEN_BRAIN_CATALOG","BRAIN_REGION","ZZ","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_BRAIN_CATALOG","EXTRACTION_PROTOCOL","1","FRESH",""
"BIOSPECIMEN_BRAIN_CATALOG","EXTRACTION_PROTOCOL","2","FROZEN",""
"BIOSPECIMEN_BRAIN_CATALOG","HEMISPHERE","1","LEFT   ",""
"BIOSPECIMEN_BRAIN_CATALOG","HEMISPHERE","2","RIGHT  ",""
"BIOSPECIMEN_CELL_CATALOG","VENDOR","37190","CDI",""
"BIOSPECIMEN_CELL_CATALOG","VENDOR","37191","RUCDR (fibroblasts)",""
"BIOSPECIMEN_CELL_CATALOG","VENDOR","37192","WiCell",""
"BIOSPECIMEN_CELL_CATALOG","VENDOR","37193","IUGB expanded lines",""
"BIOSPECIMEN_CELL_CATALOG","VENDOR","37194","NYSCF (iPSC and fibroblasts)",""
"BIOSPECIMEN_PROJECTS","SEQUESTERED_COHORT","4","Prodromal",""
"BIOSPECIMEN_SLIDE_CATALOG","AUTOPSY SITE","1","STANFORD",""
"BIOSPECIMEN_SLIDE_CATALOG","AUTOPSY SITE","2","BARCELONA",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","A","OLFACTORY BULBS AND TRACTS",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","B","MIDDLE FRONTAL GYRUS",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","BB","CONTRALATERAL MIDDLE FRONTAL GYRUS ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","C","INFERIOR PARIETAL LOBULE ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","CC","CONTRALATERAL PARIETAL LOBULE",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","D","SUPERIOR AND MIDDLE TEMPORAL GYRI",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","DD","CONTRALATERAL SUPERIOR AND MIDDLE TEMPORAL GYPRI",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","E","PRIMARY VISUAL CORTEX",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","EE","CONTRALATERAL PRIMARY VISUAL CORTEX",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","F","CINGULATE GYRUS ANTERIOR AND POSTERIOR",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","G","STRIATUM WITH GLOBUS PALLIDUS AND NUCLEUS BASALLIS",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","GG","CONTRALATERAL STRIATUM",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","H","THALAMUS",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","HH","CONTRALATERAL THALAMUS",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","I","AMYGDALA ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","II","CONTRALATERAL AMYGDALA ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","J","HIPPOCAMPUS MID AND POSTERIOR",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","JJ","CONTRALATERAL HIPPOCAMPUS ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","K","MIDBRAIN",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","L","PONS",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","M","MEDULLA X 3 LEVELS AND CERVICAL SPINAL CORD ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","N","CEREBELLAR CORTEX WITH DENTATE NUCLEUS",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","O","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","OO","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","P ","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","PP","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","Q ","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","QQ","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","R ","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","RR","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","S ","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","SS","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","T ","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","TT","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","U ","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","UU","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","V ","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","VV","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","W ","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","WW","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","X","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","XX","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","Y","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","YY","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","Z","ADDITIONAL LESION",""
"BIOSPECIMEN_SLIDE_CATALOG","BRAIN_REGION","ZZ","CONTRALATERAL LESION  ",""
"BIOSPECIMEN_SLIDE_CATALOG","FILE TYPE","1","SVS",""
"BIOSPECIMEN_SLIDE_CATALOG","FILE TYPE","2","MIRAX ",""
"BIOSPECIMEN_SLIDE_CATALOG","HEMISPHERE","1","LEFT   ",""
"BIOSPECIMEN_SLIDE_CATALOG","HEMISPHERE","2","RIGHT  ",""
"BIOSPECIMEN_SLIDE_CATALOG","RESOLUTION","1","40X",""
"BIOSPECIMEN_SLIDE_CATALOG","RESOLUTION","2","20X",""
"BIOSPECIMEN_SLIDE_CATALOG","SCANNER","1","LEICA APERIO",""
"BIOSPECIMEN_SLIDE_CATALOG","SCANNER","2","3DHISTECH",""
"BIOSPECIMEN_SLIDE_CATALOG","STAIN","1","HE/LFB",""
"BIOSPECIMEN_SLIDE_CATALOG","STAIN","2","P129 A-SYNUCLEIN",""
"BIOSPECIMEN_SLIDE_CATALOG","STAIN","3","BETA-AMYLOID",""
"BIOSPECIMEN_SLIDE_CATALOG","STAIN","4","PHF TAU",""
"BIOSPECIMEN_SLIDE_CATALOG","STAIN","5","PHOSPHO TDP43 ",""
"C05AECLINAST","C05AERPRT","0","No",""
"C05AECLINAST","C05AERPRT","1","Yes",""
"C05AECLINAST","C05ASTYN","0","No",""
"C05AECLINAST","C05ASTYN","1","Yes",""
"C05AECLINAST","C05CLNCONDCTVIS","0","No",""
"C05AECLINAST","C05CLNCONDCTVIS","1","Yes",""
"C05AECLINAST","PAG_NAME","C05AECLINAST","(C05-05 PET Imaging Substudy) Adverse Event In-Clinic Assessment",""
"C05CNSNT","DOCCONSNTC05","0","No",""
"C05CNSNT","DOCCONSNTC05","1","Yes",""
"C05CNSNT","PAG_NAME","C05CNSNT","(C05-05 PET Imaging Substudy) Documentation of Informed Consent",""
"C05CONCL","PAG_NAME","C05CONCL","(C05-05 PET Imaging Substudy) Conclusion of Study Participation",""
"C05CONCL","WDRSN","1","Completed study per protocol",""
"C05CONCL","WDRSN","2","Transportation/Travel issues (ex: logistics or travel, moved away from study site)",""
"C05CONCL","WDRSN","3","Burden of study procedures (other than travel)",""
"C05CONCL","WDRSN","4","Family, care-partner, or social issues (such as work/job obligations)",""
"C05CONCL","WDRSN","5","Non-compliance with study procedures",""
"C05CONCL","WDRSN","6","Adverse event",""
"C05CONCL","WDRSN","7","Decline in health",""
"C05CONCL","WDRSN","8","Lost to follow up",""
"C05CONCL","WDRSN","9","Other, please specify:",""
"C05CONCL","WDRSNPD","1","No",""
"C05CONCL","WDRSNPD","2","Yes",""
"C05CONCL","WDRSNPD","3","Not Applicable",""
"C05ELIG","EXABCOND","0","No",""
"C05ELIG","EXABCOND","1","Yes",""
"C05ELIG","EXRAD50","0","No",""
"C05ELIG","EXRAD50","1","Yes",""
"C05ELIG","INCNSNT","0","No",""
"C05ELIG","INCNSNT","1","Yes",""
"C05ELIG","INENRLPPMI","0","No",""
"C05ELIG","INENRLPPMI","1","Yes",""
"C05ELIG","INSEX","0","No",""
"C05ELIG","INSEX","1","Yes",""
"C05ELIG","PAG_NAME","C05ELIG","(C05-05 PET Imaging Substudy) Inclusion Exclusion Criteria",""
"C05IMAG","DIFFLOC","0","Unchecked",""
"C05IMAG","DIFFLOC","1","Checked",""
"C05IMAG","INVEVLAF","0","No",""
"C05IMAG","INVEVLAF","1","Yes",""
"C05IMAG","INVEVLBF","0","No",""
"C05IMAG","INVEVLBF","1","Yes",""
"C05IMAG","PAG_NAME","C05IMAG","(C05-05 PET Imaging Substudy) C05-05 PET Imaging",""
"C05IMAG","PETCMPT","0","No",""
"C05IMAG","PETCMPT","1","Yes",""
"C05PREGNANC","PAG_NAME","C05PREGNANC","(C05-05 PET Imaging Substudy) Pregnancy Test",""
"C05PREGNANC","PREGAPPL","0","No",""
"C05PREGNANC","PREGAPPL","1","Yes",""
"C05PREGNANC","UPREGPRF","0","No",""
"C05PREGNANC","UPREGPRF","1","Yes",""
"C05PREGNANC","UPRGCNBF","0","No",""
"C05PREGNANC","UPRGCNBF","1","Yes",""
"C05PREGNANC","UPRGCNBF","2","Not Applicable",""
"C05PREGNANC","UPRGRSLT","0","No",""
"C05PREGNANC","UPRGRSLT","1","Yes",""
"C05REPPREG","PAG_NAME","C05REPPREG","(C05-05 PET Imaging Substudy) Report of Pregnancy",""
"C05REPPREG","PREG30C05","0","No",""
"C05REPPREG","PREG30C05","1","Yes",""
"C05REPPREG","PREG30C05","2","Unknown",""
"C05REPPREG","PREGWHO","1","Female participant",""
"C05REPPREG","PREGWHO","2","Female partner of participant",""
"C05SCRNFAIL","PAG_NAME","C05SCRNFAIL","(C05-05 PET Imaging Substudy) Screen Fail",""
"C05SCRNFAIL","RSNDEC","1","Risks of Protocol",""
"C05SCRNFAIL","RSNDEC","2","Confidentiality issues",""
"C05SCRNFAIL","RSNDEC","3","Protocol too time intensive",""
"C05SCRNFAIL","RSNDEC","4","Changed mind about lumbar puncture",""
"C05SCRNFAIL","RSNDEC","5","Travel requirements",""
"C05SCRNFAIL","RSNDEC","6","Family or caregiver/informant advised declining",""
"C05SCRNFAIL","RSNDEC","7","Physician (other than Site Investigator) advised declining",""
"C05SCRNFAIL","RSNDEC","8","Enrolled in other study",""
"C05SCRNFAIL","RSNDEC","9","No longer interested",""
"C05SCRNFAIL","RSNDEC","99","Other",""
"C05SCRNFAIL","SCRNFAILRSN","1","Eligibility Criteria",""
"C05SCRNFAIL","SCRNFAILRSN","2","Participant declined participation prior to completing baseline visit",""
"C05TEL","C05CNTACTYN","0","No",""
"C05TEL","C05CNTACTYN","1","Yes",""
"C05TEL","C05CNTRSN","1","Phone disconnected/number no longer in service",""
"C05TEL","C05CNTRSN","2","Messages for participant were not returned",""
"C05TEL","C05CNTRSN","3","Participant moved/unable to locate",""
"C05TEL","C05CNTRSN","4","Other, specify:",""
"C05TEL","C05CONDCTVIS","0","No",""
"C05TEL","C05CONDCTVIS","1","Yes",""
"C05TEL","C05TELAERPT","0","No",""
"C05TEL","C05TELAERPT","1","Yes",""
"C05TEL","PAG_NAME","C05TEL","(C05-05 PET Imaging Substudy) Adverse Event Telephone Assessment",""
"CGIINVEST","INVESTAST","0","Not assessed",""
"CGIINVEST","INVESTAST","1","Normal (no signs or symptoms)",""
"CGIINVEST","INVESTAST","2","Borderline",""
"CGIINVEST","INVESTAST","3","Mild",""
"CGIINVEST","INVESTAST","4","Moderate",""
"CGIINVEST","INVESTAST","5","Marked",""
"CGIINVEST","INVESTAST","6","Severe",""
"CGIINVEST","INVESTAST","7","Very severe",""
"CGIINVEST","PAG_NAME","CGIINVEST","Clinical Global Impression (CGI) - Investigator",""
"CLCKDRAW","PAG_NAME","CLCKDRAW","Clock Drawing",""
"CLINLAB","BLDCOAG","0","Not Collected",""
"CLINLAB","BLDCOAG","1","Collected",""
"CLINLAB","BLDLAB","0","Not Collected",""
"CLINLAB","BLDLAB","1","Collected",""
"CLINLAB","BLDLAB","2","Partial Collection",""
"CLINLAB","BLDLAB","3","Not Required",""
"CLINLAB","PAG_NAME","CLINLAB","Clinical Labs",""
"CLINLAB","PAG_NAME","LAB","Laboratory Procedures",""
"COGCATG","COGDECLN","0","No",""
"COGCATG","COGDECLN","1","Yes",""
"COGCATG","COGDXCL","1","90% - 100%",""
"COGCATG","COGDXCL","2","50% - 89%",""
"COGCATG","COGDXCL","3","10% - 49%",""
"COGCATG","COGDXCL","4","0% - 9%",""
"COGCATG","COGSTATE","1","Normal Cognition",""
"COGCATG","COGSTATE","2","Mild Cognitive Impairment (MCI)",""
"COGCATG","COGSTATE","3","Dementia",""
"COGCATG","FNCDTCOG","0","No",""
"COGCATG","FNCDTCOG","1","Yes",""
"COGCATG","PAG_NAME","COGCATG","Cognitive Categorization",""
"COGCATG","PAG_NAME","COGCATR","Retrospective Cognitive Categorization",""
"COGCATG","PTCGBOTH","1","Participant",""
"COGCATG","PTCGBOTH","2","Caregiver",""
"COGCATG","PTCGBOTH","3","Participant and Caregiver",""
"COGCATG","RVWNPSY","0","No",""
"COGCATG","RVWNPSY","1","Yes",""
"COGCHNG","COGCHG","0","No",""
"COGCHNG","COGCHG","1","Yes",""
"COGCHNG","PAG_NAME","COGCHNG","Cognitive Change",""
"CONCL","COMPLT","0","No",""
"CONCL","COMPLT","1","Yes",""
